video,frame_count,width,height,question,answer,qid,type
3061528844,1047,320,240,where is this happening,house,9,DL
5561006511,530,640,360,why are there so many toys in the sink,for baby to play,2,CW
8406808373,777,640,360,what occasion are the girls having their food on plastic plates,event,0,CW
8026760409,2697,480,800,why did the man lift his arm when he strums strongly on some notes,give him extra power to strum,4,CW
3511344402,2055,640,480,does the baby wearing red pants lose interest in the content of the picture book at the end of the video,yes,2,DB
6933878767,2697,640,360,what does the kid do after the first bite of orange,look around,4,TN
6847097278,1554,640,360,why is the man sitting down,playing piano,5,CW
4527426680,592,640,360,how does the girl react while watching the blanket,laugh,9,TC
4132540355,960,640,480,where is this video taken,beach,6,DL
2876099069,794,500,375,how does the man in purple kayak travel across the waterfall,paddle,2,CH
8019816081,733,640,360,what are the people doing,gathering for food,5,TC
3512293350,732,640,480,what did the speaker do after he pointed his hand on the screen,hand gesture,6,TN
5867564434,945,480,640,how did the boy react when he realises there is one part of the food he cannot seem to eat,gives it away,6,TC
3332115271,2160,640,424,how does the man in orange at the extreme end move his hands,clap,8,CH
5895320023,1183,640,1138,why does the person in red drop the balloon in front of the dog,for the dog to hit,2,CW
6241168740,881,640,360,how did the woman in blue show affection to the black dog,pat the dog,0,CH
4740183596,1223,640,360,why are both men not wearing any shirt,water sports,0,CW
3757188016,2163,640,360,why is the man wearing white shoes tapping his left foot,keep rhythm,2,CW
13308006123,596,640,360,how did the two men with uniform at the end move their hands,waving,5,CH
5408572348,974,640,480,what does the baby in white do after putting down the pail at the end,puts his hands in the bowl,9,TN
4780185309,595,480,360,where is this happening,porch,6,DL
5516830700,1423,360,480,what did the girl do when she approached the baby,take the balloon,10,TC
4655255240,916,640,360,why is the boy in black hanging in the air in the middle of the video,let go of the rocks,2,CW
11510612945,2430,640,360,why is the lady squat down on the ground,help boy hold the hose,5,CW
3165464131,1695,640,480,what does the lady in blue do at the end after she stopped dancing,lean to the side,4,TN
3353539556,1820,640,360,what does the man with the headscarf do after looking around,bend down,6,TN
13416071294,431,640,480,what is the relationship between the kids,friends,3,DO
3354627944,1287,640,480,why is the baby inside the figurine,keep him occupied,7,CW
3511344402,2055,640,480,is the baby wearing yellow pants capable of walking on his own,no,6,DB
6445470185,1621,568,320,how many members are involved in the band,seven,8,DC
3805063660,2054,640,360,why does the man in black point at the man in striped after they have stood up,talk about man in stripes,4,CW
8686073700,1097,640,360,how did the man shooting make sure that he aims at the target correctly,look straight,3,CH
3361754590,530,480,480,where are the people hanging out,kitchen,7,DL
4933467831,725,640,480,why did the boy in blue walk out from behind and walked to the center of the stage,part of performance,3,CW
7649295416,2697,640,480,why does the man in black move his hands,playing guitar,7,CW
8291700390,489,640,360,why did the girl in green put a doll and other toys into a box on the ground,to pack them,2,CW
3188565645,780,640,480,did the woman in spectacles join in the conversation,yes,8,DB
2833396512,1272,640,480,judging from the environment is the rabbit domesticated or in the wild,domesticated,5,DB
12357929995,1878,640,360,where is the video being taken,room,8,DL
5954391577,392,640,360,why did the man in black walk forward and jogged a bit after tthe middle part of the video,waiting for ball to be thrown,7,CW
13884124143,853,640,360,why did the man on the surf board swing his hands back and forth at some point,for balance,7,CW
3796984272,555,640,360,how many wheels are there on the bike,three,5,DC
8307739647,352,604,1072,why did the boy stretch both his legs out near the end,loose the pedal grip,1,CW
8683094222,1188,640,480,why are the dogs gathered near the foot,for food,3,CW
5912348323,803,320,240,where are the men hanging out,forest,5,DL
3149819375,1114,640,480,how does the child move the toy after jumping on the beach,push toy car,1,CH
10871643364,1352,640,360,why is the woman in black smiling in the middle of the video,found baby cute,9,CW
9720272113,518,640,480,how many times does the boy in white pants throw and make splash,three,6,DC
4745820654,2021,640,360,why are there newspapers placed on the sofa,left by someone,0,CW
2936124994,1180,320,240,how did the girl react when the man played with her,smile,3,TC
12793616815,1444,640,360,why does the man in beige wear a cap outdoors,hot sun,0,CW
2761806961,1273,478,360,where are the people hanging out,studio,8,DL
3714169972,825,640,480,why is the man moving the stick up and down at the start,attract the cat,3,CW
8457813639,397,604,1072,what does the man do after sliding down the slope,try to get up,7,TN
5654616479,876,640,480,why is the man smiling,happy,4,CW
4893497579,420,640,360,what does the kid in blue do after slapping her face for a while in the middle,sit back and lean against chair,7,TN
5337165834,1042,480,640,what does the boy in red do after the other pushes the button the first time,raise his arms,8,TN
5296127747,630,640,480,how did the lady placed her glassses when she is not using it,on her head,8,CH
4442957886,834,640,480,how was the baby s shirt prevented from stains from food,wearing bib,2,CH
2785792401,897,500,375,which hand does the girl use to do a thumbs up near the end,right,7,DO
3558218572,583,640,480,where is this place,restaurant,4,DL
6782372702,924,640,360,why does the cat lie on the sheet,comfortable,4,CW
5898462711,1095,640,480,how many children are there,three,6,DC
4629254613,1302,640,360,why did the man walk away from the house,get up the slope,3,CW
5852331173,645,640,360,where is this video taken,shopping mall,5,DL
6086390405,1302,640,384,why did the boy hold the wheel before going up the wheel,to stabilize himself,0,CW
5697541410,647,320,240,how did the woman used the cleaver with her left hand in the middle of the video,push,2,CW
2625491104,389,500,375,why did the men fall into the canoe after pulling the rope,lost balance,1,CW
4755578412,945,320,568,how many times did the boy eat the waffle,two,5,DC
2677920843,2697,500,375,what did the man in blue do with the boy after he gave the lady in white his cup,dance with him,6,TN
5810428405,1455,640,480,what is the relation between the man and the boy,parent offspring,1,DO
4116558765,2697,640,360,how do the cats clean each other,by licking each other,0,CH
6157608500,1068,640,480,how does the man show his affection to the baby,hug baby,7,CH
4823372280,1012,640,480,why is there only lights on the dancing couple but not the people around,they are dancing,0,CW
10798608136,1620,640,480,what did the people do after they stepped onto the ledge,put down wreath,1,TN
6063052014,1057,272,480,is the baby willing to eat the yogurt in the middle of the video,no,4,DB
4564918802,1661,480,640,how did the girl in pink react when the girl in black made a funny face at the end,laugh,2,TC
5700674176,492,640,480,what did the lady do after the kite went into the air at the start,controlling kite,5,TN
12849057245,1985,640,310,what does the woman in purple do after pointing her finger at the beginning,take a basket of flowers,9,TN
3477693010,1519,640,480,what does the baby do when the boy punches the air,move backwards,7,TC
2480958388,2620,320,240,how is the girl in pink feeling as she speaks,happy,3,TC
5308844630,1755,640,360,why does the woman caress the dog in the middle of the video,affectionate to dog,2,CW
2888597276,1422,640,480,why are the people all standing at the back looking at the man in full black suit when he is on camera,watching his interview,4,CW
7507407870,923,640,480,what is the man holding as he rode around the stable,leash,8,TC
5278707109,406,640,360,why did the dog stretch its paw out,take the food,7,CW
5456274822,1290,640,480,what does the woman in black hold in her hand while singing,paper,4,TC
3960090482,762,320,240,where are the dogs walking,park,7,DL
10354698406,451,640,640,is the lady feeling the song while she is singing and playing it,yes,1,DB
4861754967,756,640,360,why does the man points his hand towards the laptop while explaining,show something on the laptop,3,CW
3350647572,1836,640,480,why does the girl bend down at the start of the video,pick up toy,1,CW
6319338465,582,640,360,what did the child hold onto when she runs on the wooden roller,hold on the rail,0,TN
4690182952,2697,640,480,what does the lady do after finishing talking,use the machine,5,TN
5264432151,937,640,360,why is the baby lying stationarily in the arms of the old lady,sleeping,5,CW
9487512217,521,640,360,how are the children feeling when playing on the merry go round,excited,7,TC
10745999374,3217,640,360,what does the man in grey do after walking around for a while near the end,sit at table,11,TN
13899022254,1074,640,360,why does the boy wear jacket indoors,cold,1,CW
2670179772,1860,640,480,why did the boy turned away from the girl in the middle of the video,play with the toy truck,7,CW
4177405471,775,640,480,how did the boy in red reacted to the cake being placed in front of him,look around,2,CH
2803088594,539,320,240,why did the lady look unstable on water,moving with waves,1,CW
4336614054,1485,640,360,how did the man protect his head from the cold,beanie,4,DO
3452353148,780,640,480,is the man stuck in snow,yes,2,DB
3628142567,723,640,480,what did the boy with monkey bag do after he turned around,move his hand,6,TN
6161302721,1406,640,360,why did the man in green picked the yellow tube up,ignite fire in red tube,0,CW
8888541668,1155,640,360,what did the boy do after taking off his hat,look behind,3,TN
5463556386,2160,640,424,how did the lady in polkadot feel while singing for a performance,excited,6,TC
10637506985,892,480,360,why is the man in checkered shirt standing in front of the wall,to look at the wall,1,CW
3710879845,1140,640,480,why did the duck behind look around before starting to walk again,look where to go,7,CW
5078580976,742,320,240,what happended to the boy in blue when he run towards the boy in yellow in the middle of the video,drops his bottle,2,TC
8672272216,904,480,800,why did the girl stopped after moving for a while in the middle of the video,pick up blanket,3,CW
4828801987,2697,640,360,what occasion is going to happen,music performance,6,DO
6434469849,486,640,384,why did the baby fall to the right side after he touched the dog s face,lost his balance from dog s push,6,CW
9251779370,378,640,480,what are the people doing in the video,talking and drinking,3,TC
2808115823,2127,640,480,how many pairs are dancing on the floor,four,8,DC
5910181912,965,320,240,how does the girl in white drag the girl in pink on the sofa in the middle of the video,hug and lie down,2,CH
4978322198,600,640,480,are the bus lights on the entire time as it drives through the checkpoint and into the parking lot,yes,6,DB
4140726680,1175,640,480,do the kids pay attention when the lady approaches near them,yes,7,DB
7729753698,451,640,362,what happens to the face of the man in white while he chops the coconut,frowns,2,TC
8629407761,977,640,1138,what does the baby do after putting down the blanket near the end,clap,10,TN
4917446097,952,320,240,what did the lady in blue do as she ran past the boy at the end of the video,dance,9,TC
3707868675,794,640,360,how do the people celebrate the song,swaying,5,CH
7298018526,603,568,320,what does the boy do after looking around at the beginning of the video,stretch his arm,9,TN
13200806115,1307,640,360,why did the dog next to the pail look up when the other dog approach it,curious,10,CW
5672163231,1195,640,360,what does the man do in front of the fire,positon branch,7,TC
7040233679,910,640,360,why is the lady in blue holding on to a glass of water for,drink from it,2,CW
3416353558,1643,240,320,how does the lady feel while reading from the paper,happy,6,TC
3982987927,423,640,480,why does the child hold the black attachment to the phone,playing,2,CW
7001369162,691,640,360,why does the woman bend down and look at the girl wearing black helmet at the start of the video,talk to girl,1,CW
7764531324,786,640,360,what is the difference between the three videos shown consecutively,the speed of movements,0,DO
3719700394,405,640,360,how does the man with glasses use body language at the end to express himself,hand gesture,6,CH
3065148567,382,640,480,why is the man in red sitting on the sofa and taking something out of the plastic bag,to eat,0,CW
4148862873,1024,640,360,why are people watching the man work,admiring,2,CW
9026085228,672,640,424,what did the bird on the right do after sticking its beak into the feeder at the start,look around,4,TN
4783216249,2459,640,360,how did the girl make sure she knows the time,wear watch on hand,8,CH
7047414375,960,640,360,what does the girl do after kicking the ball at the start,run after it,4,TN
2548607048,1939,500,375,how does the girl keep warm at the start of the video,in bed,1,DO
2547180255,1173,320,240,why is the baby looking upwards at the start,looking at tv,5,CW
8254099270,1134,640,480,what did the dog do after it went past the brown shelf,sniff floor,5,TN
4316096248,2118,480,640,what did the lady do with the spoon that the waiter gave to her,feed the bridegroom with cake,5,TN
5150571378,929,640,360,why are the dogs repeatedly rolling against the carpet on the floor,playing,3,CW
10127666163,421,640,360,why are the people moving with small steps,to maintain the distance,7,CW
9281344489,2160,640,360,what did the girl in pink do before she started singing,look at music sheet,7,TP
8508382804,930,640,360,how was the people able to read the books,using the lights from their headband,5,CH
2469019658,2190,320,240,how did the girl in grey and black shirt unbox the presents,open lid from box,4,CH
7230665208,2241,640,360,where is this video taken,at the street,6,DL
5760068749,687,640,480,what was the man in maroon doing while the boy was standing and making faces,eating and watching him,4,TC
4016332158,569,640,480,is the baby learning how to crawl,yes,1,DB
8802047883,1351,640,360,why does the girl gets happy after watching the dog,loves to play with dogs,2,CW
4250392878,2697,480,360,how many people are involved in the video,two,12,DC
3058613626,677,320,240,why does the man with a red hat put his arm down at the end of the video,done performing,4,CW
2797596111,2158,640,480,why is the man in red holding two sticks in his hand,playing drums,7,CW
8319941339,318,640,1138,why does the boy cross his legs on the bed,put keyboard on his lap,7,CW
6543990975,674,640,1138,why is the balloon s movement restricted even though the child is hitting the balloon,string attached,3,CW
10871643364,1352,640,360,what does the girl in pink do after the girl in white run away,chase her,6,TN
5206737488,1105,640,360,what did the lady in grey do as she spoke to the lady in grey at the end of the video,stand up,5,TC
7851322104,1481,320,240,what does the boy do after putting the book onto the piano,play the piano,5,TN
3210496292,618,640,480,why is smoke coming out of the pots beside the lady in black when she is slicing the ingredients,food is boiling,2,CW
6988184827,715,360,480,what does the man do after pushing forward the red bottles a few times at the start,push yellow bottles,5,TN
3606518674,2622,640,480,how do the singers project their voice during performance,use microphone,0,CH
4280307962,384,640,480,why does the man with brown hair pick up the magazine near the end of the video,get closer look at magazine,2,CW
8994022703,1002,640,480,why is the lady bent over,looking at phone,9,CW
7252299196,868,640,1138,what does the lady in red at the back do at the end while the men are talking,walk past,5,TC
4213559443,1433,640,480,is the boy able to make a meaningful conversation at this age,yes,1,DB
4903918516,1809,640,480,where are the tigers staying,zoo,4,DL
2401079660,605,640,480,is the man teaching the baby to climb the stairs,yes,5,DB
4599618003,2194,640,480,why does the boy take very small and slow step forwards every time,cannot walk,2,CW
6789663234,1355,480,640,are these people sitting in a cafe,yes,4,DB
8729940626,1680,640,360,are the children engaged or bored in this video,enagaged,3,DB
3354627944,1287,640,480,why is the baby standing on a book,can not reach the ground,0,CW
8115486281,1080,640,360,what does the man do after throwing the lady s jacket,turns her towards him,5,TN
5255136217,1350,640,480,what is this video about,performance,4,DO
5761415508,1369,568,320,does the cat enjoy what the man is doing to it,yes,4,DB
4480383711,481,640,428,is the dog domesticated or wild,domesticated,0,DB
3973097072,565,640,480,how do the two people breathe underwater,scuba tank,1,CH
2510654215,383,352,288,what does the black boy do after the two other boys jumps up in the middle,jumps withthem,7,TN
3136982378,1294,640,480,what do the people do before fencing in the middle of the video,bow,5,TP
2739107862,2250,640,480,how did the woman feel when she was talking into a microphone,comfortable,1,TC
11277503743,347,640,360,why did the two children stretch their hands in front of them near the end,shake hands,2,CW
3230918057,1975,640,480,what is the possible relationship betwen the man and the lady,teammates,13,DO
2681849266,2262,500,375,why does the lady holding the stick starts dancing,act in front of camera,1,CW
2458411884,969,500,333,what did the man do after looking at the camera,wave,0,TN
2418283943,310,320,240,what did the man do after the camera flashed,look up,9,TN
4308410480,2692,640,480,how did the boy act like they are badly attacked when role playing fighting,fall to the ground,5,CH
10542271055,602,640,360,why did the girl in brown put her hands above her eyes at the beginning of the video,block the sun,1,CW
2583305672,820,640,480,how did the man in black drank his coke,straw,6,CH
7604356090,2697,640,360,why does the woman on the left pass the microphone to the woman on the right at the start of the video,her turn to speak,2,CW
3828863805,1249,640,480,how does the lady respond when the girl stands up and stretches her arms out,carries girl,6,TC
4250392878,2697,480,360,why did the man try to lift the piece of wood after hitting the screw in,check if wood is screwed properly,4,CW
7851322104,1481,320,240,did the boy play the piano with both or separate hands,both hands,1,DB
6811493102,1052,640,480,why does the person in red clap after the dog collects the ball,happy for dog s obey,0,TN
8692968296,2697,640,360,how did the man amplified his voice,microphone,6,CH
5370747323,381,640,360,what is the lady in white holding while walking,water bottle,4,TC
7471812372,1712,640,360,what was the dog doing as it was carried up by the woman near the end,biting on to the blue toy,7,TC
6688013577,405,640,360,why are they wearing sunglasses,protect eyes from sun,6,CW
2522230085,865,320,240,why does the man in the white cap swim with his head above water before walking in the sea,exercise,2,CW
3055333427,2568,320,240,How did the girl react after finish playing the piano in the middle,smile,8,TN
3104055504,2360,640,480,how many hamsters are there,one,8,DC
4192027724,2520,640,480,what does the kid in striped bib do after leaving the other kid alone,plays with a toy,8,TN
5323209509,1149,640,480,why did the baby touch and pull the paper in her hands after the baby ripped it apart,uncover the paper,1,CW
4839268164,657,640,480,why do some persons rush towards the child towards the end,prevent child from throwing cup away,3,CW
2442932012,2697,500,375,is the panda engaged in playing with the ball or distracted,engaged,1,DB
2615323477,2325,640,480,where was the boy in stripped sitting at the beginning of the video,sofa,10,DL
3664990087,849,640,360,why is the skier in black and white walking down the slope,can not ski,2,CW
4051288403,1035,640,480,what did the other boys do when the boy in green fell to the ground,surround him,9,TC
5012762688,683,640,480,what are the birds doing,feeding,3,TC
9305277478,1336,640,1138,how does the person in white try to keep the baby on the chair after he moves the baby,give the baby a toy,3,CH
3144392266,994,320,240,why is the boy in blue put his hands in the air at the start,to hit the net,7,CW
7470108174,1729,640,360,how does the man react each time he sees the baby laughing,laughs,6,TC
3248050019,2377,640,480,how is the boy positioned at the start,standing,6,TC
7453733688,792,640,360,what did the girl in rainbow swimsuit do after approaching the ball,kicks the ball,7,TN
11313362075,1066,640,360,where is this place,theatre,7,DL
4969723020,2045,640,480,why did the man holding baseball bat kick the ball after it falls to the floor,to return ball to thrower,1,CW
6273514577,2236,640,360,is the person using the hand to calm the baby,yes,2,DB
8378416042,668,272,480,what did the girl in purple do in the middle of the video,turns around,4,TC
8072608070,585,640,360,what does the lady in black do as the fencers play,observe,1,TC
3076015013,770,640,480,where is this happening,play area,9,DL
4507436121,2154,640,428,why is the boy not watching the tv,engrossed in dancing,4,CW
5476140602,1794,640,480,what does the white cat do after seeing the brown cat approaches,runs away,11,TN
2883068209,1470,640,480,what does the baby do after taking a look at the toy at the end,lean forward and put head down,7,TN
2695848772,2676,500,375,what does the lady do as the girl plays the violin,play the piano,2,TC
8290475933,870,640,360,why did the man turn his head to his right while speaking,speak into microphone,4,CW
4153535077,710,640,360,what did the man do after removing the crumb from the baby s shirt,put crumbs on plate,5,TN
6780595444,1754,480,800,what is the kid doing with the help of man,unwrapping a gift,1,TC
3359624367,307,640,360,how does the black jacket man draw attention towards his stuff,hand gesture,5,CH
4916201843,1576,640,480,how does the baby react when the wet tissue is wiped across his body,starts smiling and moving hands,2,TC
9345245716,486,640,360,what did the lady carry while jumping beside the wall,messenger bag,7,TC
3381196806,1776,640,424,how did the lady in grey make sure that the two boys are safe when they are playing,shift the wine bottle away,4,CH
3229982634,885,640,480,why does one of the woman close her eyes initally,enjoying her face being touched,2,CW
3485644822,1350,640,480,why did the lady look up to the camera,responding,8,CW
3163478364,793,640,480,why did the girl walked forward near the end of the video,finished playing,9,CW
5785351331,1237,480,360,what does the girl in striped do after finishing talking about the book,continue tlaking,7,TN
3295058818,798,640,480,what did the girl with red headband do after being attacked by the girl with spectacles,hit her back,7,TN
6083954222,2642,640,1138,how many times does the boy in grey pick up his ball,nine,12,DC
13097816293,1105,544,960,why did the baby lied down and stretched his right arm near the end of the video,grab comb,9,CW
6380588875,2098,640,360,what is the possible relationship between the two boys,sibling,6,DO
6981292292,1995,640,362,what did the boy do after he put his hands behind the chair in the middle,count his toys,8,TN
4257050287,937,640,480,how did the man avoid the hitting while playing toys and instruments with the child at the end,lean backward,5,CH
4177209443,2697,640,360,how did the man control the music,using machines,2,CH
3977828183,1255,640,480,is the man experienced in playing the guitar,yes,6,DB
3311422977,729,640,428,why did the lady in pink smile,satisfied,5,CW
2410686513,2643,640,480,why does the outermost guy with the guitar keep moving forward and backward,engrossed in performance,5,CW
3295715150,312,320,240,why did the dark grey planks moved sideways,doors open,0,CW
6210851682,452,640,360,what did the woman do when they reached the end in the middle,turned around,0,TC
8174115703,915,272,480,how was the man holding the baby at the start of the video,carrying baby,6,CH
2866935369,1138,640,480,what did the man in black do after taking the cup away from the screen and putting it at the side,put white object on the screen,5,TN
2944480873,2698,320,240,why does one of the cats kick the other,fight back,3,CW
8787162041,2325,640,360,why is the baby dancing around in the middle of the video,excited,4,CW
4830821964,1314,640,480,was the man in orange wearing sunglasses when using the furnace,yes,10,DB
7714391252,784,640,360,how did the man in green lift the weight up,use hands,9,CH
5088084660,723,640,360,what did the girl do after the boy started jumping around at the end of the video,point,0,TN
13384357414,628,448,336,what finger does the man use for point at the screen the first time,pinky,8,DO
5311367704,700,640,480,why is the boy wearing helmet,perform play work,0,CW
3472706332,1075,640,360,why does the dog constantly look at the man,looking at food,9,CW
2504943867,2161,640,362,why is the woman wiping the boy s face with a tissue,clean the mouth,0,CW
7230665208,2241,640,360,why are the men in blue and white wearing shades,sunny outside,3,CW
5421781316,907,272,480,how does the baby play with the toy,flip the toy around,8,CH
12451389064,472,640,1138,why is the baby in the cradle and not alone on the floor,can not stand up alone,2,CW
2399357525,1025,640,480,how did the adult tell the girl to take off her second sock,point at the sock,2,CH
13974008375,1146,640,360,what did the girl do after she saw the person with blue jacket dancing,laugh,8,TN
9170516863,563,640,360,why do they stop playing their instrument at the end of the video,done playing,4,CW
3462121199,1103,640,480,what did the man in black do when he looked over into the camera,laugh,6,TC
2803088594,539,320,240,why did the man in white on the red boat lift up the wooden oar while on the boat,paddling,7,CW
4457267280,2697,640,480,what does the man do after he finishes looking at a particular map,goes to the menu,7,TN
4688033528,2697,320,240,are they having some serious conversation or having fun around,serious,1,DB
2406339050,2380,500,375,why are there toys on the floor,baby dropped them,0,CW
2800160422,1042,640,480,what did the boy do after the man turned the shower off at the middle of the video,switch on back,10,TN
5380829094,370,640,360,what activity is being carried out,snow sledging,4,TC
8847930035,326,640,480,what did the tallest boy do after he threw the ball the first time,jump to catch the ball,7,TN
4650318103,2440,640,480,why did the blue car slow down while driving beside the parked cars,road slippery,2,CW
4503497193,368,640,360,how do we know its an old injury,cat is not in pain,4,CH
2972753643,2697,640,480,why is the dog lying with its back on the floor,scratching himself,9,CW
5969859194,1368,640,360,what does the boy in all black do whenever the boy in green attempts to stand up,push him back down,16,TC
3843663025,546,640,360,what happens to the child s foot after she is paddling for a while in the middle,slips off the peddle,8,TN
3395849259,798,640,474,is the baby able to converse meaningfully at this age,no,4,DB
3134592560,2310,640,480,why did the boy take the container with strawberries,to put on cake,5,CW
5929352113,425,640,360,how did the man play with the baby,jump and talk to baby,2,CH
5317276408,2697,320,240,why are there strings surrounding the boys playing boxing,prevent falling,8,CW
5384265688,1161,604,1072,what did the baby do after he held the white cloth to its mouth in the middle of the video,bite it,7,TN
10163913366,481,640,360,what did the boy in green do after he saw the boy in orange at the start of the video,hold the boy in orange,7,TN
2401981865,855,640,480,why did the baby laugh as the man tickling him,physiological arousal,2,CW
6124749071,2250,640,480,how did the baby kept her shirt from getting stained by the food,bib,8,CH
4957662720,2697,640,360,why does the man in orange look to his right as he pushes the machine forward,to dig a straight line,4,CW
2822014581,1018,640,480,why does the contents on the computer screen change,man click on different buttons,8,CW
7762373058,1468,640,360,what does the girl do after taking things out from the blue bucket,throws them on the floor,5,TN
3757991702,683,640,480,what did the boy do after he looked at the lady beside him,look forward,9,TN
7607650838,708,272,480,why are the girl s arms moving in circular motion,rowing,5,CW
7001495401,1060,640,480,how many people are involved in the video,two,8,DC
8230812947,2697,640,360,what did the bird do after standing still again,look around,2,TN
8798330130,1413,640,360,why did the child point towards the orange spiral at the end,want to play again,11,CW
13513780604,1226,640,360,where are the girls hanging out,room,5,DL
10364623445,714,640,360,how does the boy play the game in the middle,move his body as though driving,8,CH
4245041172,503,640,480,why is the baby on the ground,crawling,0,CW
4255049031,751,640,480,why is the man in white swinging his hands,demonstrate movement,6,CW
13562023093,401,640,360,what does the baby do after releasing both hands from the chair,walk away,6,TN
5645441722,1350,640,360,why does the child in grey crawl up the corridor after climbing the stairs,curious about the socket,2,CW
3884901018,1736,640,480,what does the black cat do as the brown cats were playing at the start,look around,1,TC
6236608754,740,640,480,is the baby stable or unstable on standing up currently,unstable,4,DB
5323209509,1149,640,480,where are the people hanging out,home living room,9,DL
3654654006,2552,640,360,why is there a lady in blue kneeling on the grass patch in front of the girl in green,serveing balls for girl,2,CW
3725239563,720,640,480,what are the people doing,playing at arcade,5,TC
8388729258,2697,640,360,why is there focus lights on the men,main performers,2,CW
5476140602,1794,640,480,how does the brown cat get on top of the grey hole,jumps,12,CH
5363971186,451,320,240,what did the boy in green do while lying on the woman s chest on the bed,close eyes,5,TC
7230982816,1815,640,360,where did the man in brown keep his glasses after he took it out in the middle of the video,jacket pocket,12,TN
7445617208,2697,640,360,why did the glass on the table disappear after a while,taken away,4,CW
5552174467,805,640,360,what does the man in blue do after standing up in the middle,run back to position,8,TN
7272305954,2158,640,362,why are the children holding a pair of pink item,props,2,CW
5325583358,2697,640,360,what activity is being carried out,bull riding,6,TC
2535429050,2158,320,240,why is the man in red holding the baby and bouncing baby up and down at the start,play with baby,0,CW
11014741844,328,640,360,how many adults are involved in the video,one,12,DC
4239725174,1166,640,480,how many boys are in the video,two,3,DC
6568587471,1334,480,640,what does the girl first do when she moved back next to the baby,touch baby s foot,4,TC
10433303123,445,640,360,how is the boy moving himself towards the side of the pool,hit the water,3,CH
2586687540,2331,500,375,why did the man in blue want a cup of milk immediately,ate something spicy,0,CW
8429686679,1574,640,360,why did the lady and the shirtless man run towards the river,want to play in water,0,CW
2694001531,915,640,480,what is the possible relationship between the big and small elephants,parent offspring,0,DO
13416071294,431,640,480,what are girls holding in their hand,pompoms,0,DO
4228152919,475,640,480,is the man shortsighted,yes,3,DB
8106453629,2160,640,360,why are the man in purple and lady in red facing each other in the middle of the video,performing,12,CW
3676023277,2697,320,240,what is the relationship between the people,friends,7,DO
3353539556,1820,640,360,why does the man with the headscarf keep flipping the paper around,reading the paper,8,CW
5209164320,1139,640,480,what does the lady in purple do after pointing to the man in white near the start,touch the guitar,6,TN
10192494165,700,640,360,why are the children sitting at the back of the car,going on a trip,0,CW
4391896358,650,640,480,what did the lady in blue do when the lady in purple stood up after keeping the blanket,move her hands away,12,TN
3269139059,2697,640,480,why is there so many food on the table,celebrating birthday,2,CW
12841519884,1555,480,640,what does the owner do to the cat s cheeks nearing the end of the video,scratch,6,DO
3133586911,733,640,480,what does the baby do after he yawns,hit the man chin,4,TN
4610034365,883,640,480,what did the lady in black do after she put her jacket down,run around stage,9,TN
2399344595,2280,500,375,what does the boy do after immersing the sponge for a while at the start,open the tap,8,TN
6575303259,717,640,360,why are the two youngest children standing in front of the huge cake,birthday,0,CW
3304644092,928,640,480,what did the man do with the hand of the mannequin in the middle,takes the hand off,5,TC
2955799879,2266,500,375,what does the black cat do after licking the white kitten near the beginning,stop licking,8,TN
5314706706,651,640,480,why did the lady hold the cat with her hands,carry it close to her,1,CW
6859121305,1429,640,360,how many people are in the video,four,4,DC
8028701719,1943,640,360,why did the two men leave the stage after performing,done with their turn,4,CW
8308556521,388,604,1072,why is the girl in orange dancing in front of the camera,play for fun,0,CW
9070425868,344,272,480,how does the girl take care of the dog,brush the dog,9,CH
3057914371,2212,640,480,how did the woman in black react when the boy accidentally pushed the strawberry to the edge of the cup,helped to push back,5,TC
8646868308,2160,640,426,what does the lady in yellow do when the lady in black points to her,speak and nod,3,TC
7243131156,1297,480,720,what does the girl do after scratching her leg,moves her finger,2,TN
3233438837,1785,640,362,what are the men on the stage performing,singing,3,DO
5493209281,542,640,480,why did the man in white fixing the black board bend to his right in the middle of the video,get a better look,4,CW
2680420943,1077,640,480,how many people in total are there in the room,four,7,DC
6512025357,2510,640,1138,how is the lady in white feeling in the middle,happy,7,TC
7001495401,1060,640,480,why does the young boy standing beside the boy in a floral jacket also hold a green plate in his hand,play with it,2,CW
6768125571,2697,640,426,how does the man help the girl to sit up,pull her up,8,CH
3877765870,2141,640,360,how many pandas played with the logs throughout the video,two,9,DC
3243992169,1665,640,480,why did the baby bend down with the cloth in the middle,pick bottle up,6,CW
7499914046,1760,640,360,how does the cat show that he does not want to be played with,move away,6,CH
8481787117,720,640,360,why is the girl in pink shaking her toy while dancing on the road,playing with toy,1,CW
6379905555,480,640,480,how many people are present in the video,three,6,DC
4248140126,1029,640,480,what are the people building,bottle rocket,1,DO
4180731134,1033,320,240,did the man realy throw something out of his hands while he is swinging his arms near the 3 dogs,no,6,DB
10607074085,1812,640,480,why did the man in grey look at the lake,spot fishes,0,CW
4063621709,870,640,480,why is the baby in pink standing in front of the lady in green,lady holding the baby,2,CW
2710168479,943,500,375,does this group of people seem like tourists,yes,10,DB
6416879557,1350,640,480,why are the people on stage,performing,3,CW
2505388529,928,640,480,how did the man keep the dog warm,put red blanket,3,DO
7006313214,1028,640,480,what does the lady in purple do after talking with the lady in green for a while at the start,looks at the view,5,TN
3055012236,1527,500,375,what did the man in black cap do after the other two people walked away,stand up,6,TN
5357866271,1259,640,480,what does the boy in green striped do after getting on the ladybug structure,jump off,9,TN
